"build","computer.platform","date","time","subject","group","blockcode","blocknum","trialcode","trialnum","parameters.immediateAmount","parameters.delayedAmount","values.trialCount","values.choiceNo","values.index","values.indexAdjustment","values.delayChoice","response","latency","values.ED50","values.k"
"5.0.14.0","win","051121","09:02:01","80","272222174","minuteDiscounting","1","choice","1","5","10","1","1","16","8","3 weeks","now","27214","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","09:02:01","80","272222174","minuteDiscounting","1","choice","2","5","10","2","2","8","4","1 day","now","870","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","09:02:01","80","272222174","minuteDiscounting","1","choice","3","5","10","3","3","4","2","4hr","now","2253","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","09:02:01","80","272222174","minuteDiscounting","1","choice","4","5","10","4","4","2","1","2hr","now","1051","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","09:02:01","80","272222174","minuteDiscounting","1","choice","5","5","10","5","5","1","0.5","1hr","now","1066","0.04167","24"
"5.0.14.0","win","051121","09:03:56","62","933264771","minuteDiscounting","1","choice","1","5","10","1","1","16","8","3 weeks","delayed","2205","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","09:03:56","62","933264771","minuteDiscounting","1","choice","2","5","10","2","2","24","4","2 years","delayed","2080","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","09:03:56","62","933264771","minuteDiscounting","1","choice","3","5","10","3","3","28","2","8 years","delayed","1025","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","09:03:56","62","933264771","minuteDiscounting","1","choice","4","5","10","4","4","30","1","18 years","now","911","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","09:03:56","62","933264771","minuteDiscounting","1","choice","5","5","10","5","5","29","0.5","12 years","now","874","3579","0.000279"
"5.0.14.0","win","051121","10:03:55","81","755867372","minuteDiscounting","1","choice","1","5","10","1","1","16","8","3 weeks","now","13917","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","10:03:55","81","755867372","minuteDiscounting","1","choice","2","5","10","2","2","8","4","1 day","now","996","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","10:03:55","81","755867372","minuteDiscounting","1","choice","3","5","10","3","3","4","2","4hr","now","7980","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","10:03:55","81","755867372","minuteDiscounting","1","choice","4","5","10","4","4","2","1","2hr","now","7131","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","10:03:55","81","755867372","minuteDiscounting","1","choice","5","5","10","5","5","1","0.5","1hr","now","1260","0.04167","24"
"5.0.14.0","win","051121","10:02:20","82","927227017","minuteDiscounting","1","choice","1","5","10","1","1","16","8","3 weeks","delayed","15887","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","10:02:20","82","927227017","minuteDiscounting","1","choice","2","5","10","2","2","24","4","2 years","now","9958","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","10:02:20","82","927227017","minuteDiscounting","1","choice","3","5","10","3","3","20","2","4 months","now","5922","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","10:02:20","82","927227017","minuteDiscounting","1","choice","4","5","10","4","4","18","1","2 months","now","1061","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","10:02:20","82","927227017","minuteDiscounting","1","choice","5","5","10","5","5","17","0.5","1 month","now","603","25.28","0.0396"
"5.0.14.0","win","051121","07:07:14","79","680045565","minuteDiscounting","1","choice","1","5","10","1","1","16","8","3 weeks","now","22799","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","07:07:14","79","680045565","minuteDiscounting","1","choice","2","5","10","2","2","8","4","1 day","delayed","17933","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","07:07:14","79","680045565","minuteDiscounting","1","choice","3","5","10","3","3","12","2","4 days","delayed","12441","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","07:07:14","79","680045565","minuteDiscounting","1","choice","4","5","10","4","4","14","1","1.5 weeks","now","12968","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","07:07:14","79","680045565","minuteDiscounting","1","choice","5","5","10","5","5","13","0.5","1 week","now","8999","5.292","0.189"
"5.0.14.0","win","051121","09:56:45","58","270202353","minuteDiscounting","1","choice","1","5","10","1","1","16","8","3 weeks","now","768981","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","09:56:45","58","270202353","minuteDiscounting","1","choice","2","5","10","2","2","8","4","1 day","now","647","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","09:56:45","58","270202353","minuteDiscounting","1","choice","3","5","10","3","3","4","2","4hr","now","421","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","09:56:45","58","270202353","minuteDiscounting","1","choice","4","5","10","4","4","2","1","2hr","delayed","468","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","09:56:45","58","270202353","minuteDiscounting","1","choice","5","5","10","5","5","3","0.5","3hr","now","799","0.1021","9.79"
"5.0.14.0","win","051121","09:09:55","104","247056292","minuteDiscounting","1","choice","1","5","10","1","1","16","8","3 weeks","delayed","19992","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","09:09:55","104","247056292","minuteDiscounting","1","choice","2","5","10","2","2","24","4","2 years","now","5056","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","09:09:55","104","247056292","minuteDiscounting","1","choice","3","5","10","3","3","20","2","4 months","delayed","3632","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","09:09:55","104","247056292","minuteDiscounting","1","choice","4","5","10","4","4","22","1","8 months","now","6263","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","09:09:55","104","247056292","minuteDiscounting","1","choice","5","5","10","5","5","21","0.5","6 months","now","2225","149.1","0.00671"
"5.0.14.0","win","051121","09:08:43","99","811246138","minuteDiscounting","1","choice","1","5","10","1","1","16","8","3 weeks","delayed","40187","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","09:08:43","99","811246138","minuteDiscounting","1","choice","2","5","10","2","2","24","4","2 years","now","30891","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","09:08:43","99","811246138","minuteDiscounting","1","choice","3","5","10","3","3","20","2","4 months","now","23289","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","09:08:43","99","811246138","minuteDiscounting","1","choice","4","5","10","4","4","18","1","2 months","now","12733","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","09:08:43","99","811246138","minuteDiscounting","1","choice","5","5","10","5","5","17","0.5","1 month","now","27314","25.28","0.0396"
"5.0.14.0","win","051121","10:13:14","110","163974413","minuteDiscounting","1","choice","1","5","10","1","1","16","8","3 weeks","now","19169","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","10:13:14","110","163974413","minuteDiscounting","1","choice","2","5","10","2","2","8","4","1 day","now","768","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","10:13:14","110","163974413","minuteDiscounting","1","choice","3","5","10","3","3","4","2","4hr","now","472","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","10:13:14","110","163974413","minuteDiscounting","1","choice","4","5","10","4","4","2","1","2hr","now","712","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","10:13:14","110","163974413","minuteDiscounting","1","choice","5","5","10","5","5","1","0.5","1hr","now","1090","0.04167","24"
"5.0.14.0","win","051121","10:13:48","132","916221930","minuteDiscounting","1","choice","1","5","10","1","1","16","8","3 weeks","now","2028","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","10:13:48","132","916221930","minuteDiscounting","1","choice","2","5","10","2","2","8","4","1 day","now","471","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","10:13:48","132","916221930","minuteDiscounting","1","choice","3","5","10","3","3","4","2","4hr","now","814","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","10:13:48","132","916221930","minuteDiscounting","1","choice","4","5","10","4","4","2","1","2hr","now","527","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","10:13:48","132","916221930","minuteDiscounting","1","choice","5","5","10","5","5","1","0.5","1hr","now","654","0.04167","24"
"5.0.14.0","win","050521","04:14:32","128","440792769","minuteDiscounting","1","choice","1","5","10","1","1","16","8","3 weeks","delayed","737","Not yet determined","Not yet determined"
"5.0.14.0","win","050521","04:14:32","128","440792769","minuteDiscounting","1","choice","2","5","10","2","2","24","4","2 years","delayed","1175","Not yet determined","Not yet determined"
"5.0.14.0","win","050521","04:14:32","128","440792769","minuteDiscounting","1","choice","3","5","10","3","3","28","2","8 years","now","1193","Not yet determined","Not yet determined"
"5.0.14.0","win","050521","04:14:32","128","440792769","minuteDiscounting","1","choice","4","5","10","4","4","26","1","4 years","now","647","Not yet determined","Not yet determined"
"5.0.14.0","win","050521","04:14:32","128","440792769","minuteDiscounting","1","choice","5","5","10","5","5","25","0.5","3 years","now","1190","894.7","0.00112"
"5.0.14.0","win","051121","07:14:37","119","5601420","minuteDiscounting","1","choice","1","5","10","1","1","16","8","3 weeks","now","20868","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","07:14:37","119","5601420","minuteDiscounting","1","choice","2","5","10","2","2","8","4","1 day","now","1004","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","07:14:37","119","5601420","minuteDiscounting","1","choice","3","5","10","3","3","4","2","4hr","now","2446","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","07:14:37","119","5601420","minuteDiscounting","1","choice","4","5","10","4","4","2","1","2hr","now","2008","Not yet determined","Not yet determined"
